AMVEND	AMNAME	AMADR1	AMADR2	AMADR3	AMTELE	AMFRGT	actual_term
1	BROAN MFG OR EDN	4641 PAYSPHERE CIRCLE	CHICAGO,IL 60674         		8778470145	1250	2% 10TH PROX
172	HUNTER FAN COMPANY	P O BOX 19773		PALATINE IL 60055-9773	9017441200	1000	1% 20TH
10003	LEDVANCE OR IMARK	P O BOX 72524	(OSRAM)	CLEVELAND OH 44192	8002555042	1000	2% 90Days
10004	ADVANCE TRANSFORMER CO	P O BOX 100332	ATLANTA GA  30384		0	750	2% 10TH PROX
10005	LUTRON ELECTRONICS CO INC	P O BOX 644396		PITTSBURGH, PA 15264-4396	8005239466	500	1%10TH PROX
10007	COOPER LIGHTING OR IMARK	P O BOX 72524		CLEVELAND OH 44192	6153855566	2000	1.5% 25TH
10011	BRIDGEPORT FITTINGS INC OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		0	0	NET 30Days
10013	BROAN MFG CO OR IMARK	P O BOX 72524	CLEVELAND OH 44192		0	2000	2% 10TH PROX
10015	MISCELLANEOUS  WIRE	531 LAFAYETTE ST		NASHVILLE TN 37203	6158433300	0	NET 30Days
10019	EAGLE ELECTRIC MFG CO INC	P. O. BOX 4396	CHURCH STREET STATION	NEW YORK, NY  10261-4396 	7189378000	12000	2% 10TH PROX
10022	CUTLER-HAMMER INC	P O BOX 905473		CHARLOTTE NC 28290-5473	0	0	2% 10TH PROX
10028	INTERNATIONAL METAL HOSE CO	520 GOODRICH ROAD	BELLEVUE OH  44811		0	0	2% 10TH PROX
10030	ROYAL ELECTRIC, INC.          	P O BOX 13262	NEWARK, NJ  07101        		4017228600	0	2% 10TH PROX
10032	KLEIN TOOLS INC OR EDN	P O BOX 72524		CLEVELAND OH 44192	6012342127	0	2% 10TH PROX
10033	LEVITON MFG INC OR IMARK	P O BOX 72524		CLEVELAND OH 44192	8003238920	1500	2% 10TH PROX
10035	LOU MARKS	1514 W MAIN STREET	LOUISVILLE KY  40203		5025848441	500	NET 30Days
10043	LEGRAND/PASS & SEYMOUR	PO BOX 736431	DALLAS, TX 75373-6431         		8772953472	100	2% 10TH PROX
10046	NSI / TORK OR EDN	P O BOX 890888		CHARLOTTE NC 28289-0888	8003215847	1500	2% 10TH PROX
10050	AMERICAN INSULATED WIRE OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		4017260700	0	2% 10TH PROX
10052	GOULD INC DCD	BOX -S-3870	PHILADELPHIA PA  19178		0	0	NET 30Days
10057	S P I LIGHTING	P O BOX 188		MILWAUKEE WI 53288	2622421420	0	NET 30Days
10059	AMERICAN CIRCUIT BREAKER CORP	GENERAL SWITCH	P.O. BOX 32849	CHARLOTTE, NC  28232     	7044637361	0	2% 10TH PROX
10063	L E W ELECTRIC FITTINGS	1801 WEST ST CHARLES RD	MAYWOOD IL 60153		7083452075	0	5% 10Days
10079	PRODUCTO ELECTRIC CORPORATION	11 KINGS HIGHWAY	ORANGEBURG NY  10962		0	0	2% 10TH PROX
10083	INDUSTRIAL CONNECTIONS OR EDN	GENERAL INDUSTRIAL SOL	P O BOX 72524	CLEVELAND OH 44192	8778435586	1000	NET 30Days
10096	LSI MIDWEST LIGHTING	1065 SOLUTION CENTER		CHICAGO IL 60677	9132811100	0	NET 30Days
10098	MAL GAR	1900 WARNER ST	NASHVILLE TN 37203		6153293041	0	NET 30Days
10107	EVERGREEN LIGHTING	1379 RIDGEWAY ST	POMONA CA 91768		9098655599	0	1% 10Days NET 30Days
10119	G E LIGHTING SYSTEMS	P O BOX 100810	ATLANTA GA 30384-0810		8003216575	0	NET 30Days
10127	DESIGNLIGHT	1508 ELM HILL PIKE	STE 100	NASHVILLE TN 37210	6153296700	0	NET 30Days
10129	HALCO LIGHTING TECHNOLOGIES	PO BOX 936822		ATLANTA, GA 31193-6822   	8005582852	500	NET 30Days
10134	LIGHT BULB DEPOT 7 LLC	P. O. BOX 410	AURORA MO 65605-0410		6152545171	0	NET 30Days
10138	SHAKESPEARE COMPOSITE STRUCTUR	19845 U S HIGHWAY 76	P O BOX 733	NEWBERRY SC 29108	8032765504	3000	NET 30Days
10147	BETA/KRAMER C/O RUDD LIGHTING	75 REMITTANCE DR	STE 6403	CHICAGO IL 60675-6403	8002366800	1500	NET 30Days
10152	USHIO AMERICA	5440 CERRITOS AVE		CYPRESS CA 90630	8003261960	0	NET 30Days
10168	ATLANTIC LIGHTING	231 COMMERCE DR		FALL RIVER MA 02720	5086785411	0	NET 30Days
10169	TELEVISION PRODUCTION SERVICE	3514 CHAMBLEE DUNWOODY RD		ATLANTA GA 30341	8002418700	0	NET 30Days
10176	MISCELLANEOUS MERCHANDISE-CITY	531 LAFAYETTE ST		NASHVILLE TN 37203	6158433300	0	NET 30Days
10181	TAYMAC CORP	1343 N TECH BLVD		GILBERT AZ 85233	8005845271	100	NET 180Days
10184	PHOENIX	ATTN ACCOUNTS RECEIVABLE	8711 WEST PORT AVE	MILWAUKEE WI 53224	4149733300	1500	NET 30Days
10191	SPECIALTY LIGHTING INDUSTRIES	1306 DORIS AVE	OCEAN NJ 07712		8004627812	0	NET 30Days
10197	SOUTH ATLANTIC LLC	P O BOX 4420	PINEHURST NC 28374		9102957300	0	NET 30Days
10207	LITHONIA OR EDN	P O BOX 72524	(ACUITY)(WINONA)	CLEVELAND OH 44192	8003285291	0	NET 30Days
10208	ELITE LIGHTING	5424 EAST SLAUSON AVE		COMMERCE CA 90040	8773755555	2000	NET 30Days
10219	CURRENT LIGHTING SOLUTIONS		P O BOX 402084	ATLANTA GA 30384-2084	2162663447	1000	2% 15Days NET30
10232	REIKER ENTERPRISES	P O BOX 2847	ANNISTON, AL 36202       		0	0	NET 30Days
10242	VALEN MANUFACTURING COMPANY	6725 MACHINERY AVE	CLEVLAND OH 44103		8003212192	150	1%10TH PROX
10245	CAPITOL CITY BOLT & SCREW	1003 3RD AVE S	NASHVILLE TN  37210-3688		6152548707	0	1% 10Days NET 30Days
10251	HELIPORT SYSTEMS INC	55 MADISON AVE STE 150	MORRISTOWN NJ 07960-6012		9735400011	0	NET 30Days
10252	BARTCO LIGHTING	5761 RESEARCH DR	HUNTINGTN BCH CA	92649-1616	7148480892	5000	NET 30Days
10254	LINEAR LIGHTING CORP	31-30 HUNTERS POINT AVE	LONG ISLAND CITY NY	11101	7183617552	0	NET 30Days
10256	FLIGHT LIGHT INC	3513 LA GRANDE BLVD	SACRAMENTO CA 95823		9163942800	0	NET 30Days
10262	ELECTRONICS DIVERSIFIED	1675 NW CORNELIUS PASS RD	HILLSBORO OR 97124		5036455533	0	NET 30Days
10263	ARCHITECTURAL LIGHTING	253 N VINELAND AVE		CITY OF INDUSTRY CA 91746	6269564200	1500	2% 15TH
10265	HARMONICS LIMITED	50 POCONO RD	BROOKFIELD CT 06804		8774373688	0	NET 30Days
10269	ELECTRICAL SUPPLIERS, INC     	P O BOX 40296	MEMPHIS TN 38174		9012743160	0	NET 30Days
10271	BENDER/ISOTROL	700 FOX CHASE	COATESVILLE PA 19320		6105948595	0	NET 30Days
10272	D M F LIGHTING	1118 E 223RD ST		CARSON CA 90745	8004414422	2000	NET 30Days
10276	HONEYWELL GENESIS CABLE SYSTEM	26140 NETWORK PLACE		CHICAGO IL 60673-1261	2629470720	1500	2% 10TH PROX
10283	STAGELIGHT TENNESSEE LLC	2901 ARMORY DR	NASHVILLE TN 37204		6152445300	0	NET 30Days
10288	KIVA LIGHTING	1313 12TH ST NW	ALBUQUERQUE, NM 87104    		5053429044	2500	NET 30Days
10289	RIG A LITE	8500 HANSON RD	HOUSTON TX 77217-2942		7139430340	0	NET 30Days
10296	RUUD LIGHTING INC	75 REMITTANCE DR	STE 6403	CHICAGO IL 60675-6403	8002367000	1500	PREPAY
10300	O'NEAL LIGHTING	4543 TROUSDALE DRIVE	NASHVILLE TN 37204		6153832030	0	NET 30Days
10301	BULBRITE	P O BOX 419890	BOSTON MA 02241-9890		8005285555	1000	NET 30Days
10306	GUTH LIGHTING	P O BOX 88823		CHICAGO IL 60695-1823	3145333200	3000	NET 30Days
10307	HYDROFARM -CENTRAL	950 AVE S	GRAND PRAIRIE TX 75050		8006349999	4500	1.5% 10Days NET30
10315	LIGHTWAY INDUSTRIES INC	28435 INDUSTRY DR	VALENCIA CA 91355		0	3500	NET 30Days
10327	COLOR KINETICS DISTRIBUTION	1247 NORWOOD AVE	ITASCA, IL 60143         		6302859772	0	NET 30Days
10330	LUCIFER LIGHTING COMPANY	3750 N PANAM EXPY	SAN ANTONIO TX 78219-2223		2102277329	5000	NET 30Days
10338	STEINEL AMERICA INC	9051 LYNDALE AVE SO	BLOOMINGTON MN 55420		8008524343	350	NET 30Days
10340	TWO HILLS STUDIO INC	2706 S LAMAR BLVD	AUSTIN TX 78704		8002395530	0	PREPAY
10344	SUA INTERNATIONAL LLC	2028 OCEAN GARDEN	NOGALES AZ 85621		8777824683	0	PREPAY
10349	KAHM DESIGN & CREATIVE GROUP	619 S 600 W	SALT LAKE CITY UT 84101		8015213711	0	PREPAY
10358	PHILIPS EMERGENCY LIGHTING	P O BOX 100282	ATLANTA GA	30384-0282	0	0	NET 30Days
10359	ARCHITECTURAL LANDSCAPE LIGHT	2930 SOUTH FAIRVIEW ST	SANTA ANA CA 92704		8008548277	2500	NET 30Days
10365	BELSON & ASSOCIATES	P O BOX 31548	ST LOUIS MO 63131		3145693300	0	PREPAY
10370	OUELLET CANADA INC	180 3E AVE	LISLET, QUEBEC, CA       	GOR 2CO	8004637043	1500	1%10TH PROX
10372	EDWARDS COMPANY INC	WALTER KIDDE	P O BOX 90370	CHICAGO IL 60696-0370	0	0	2% 15TH
10376	HIGHLITES	2142 THOMASTON AVE	WATERBURY CT 06704		0	0	NET 30Days
10383	FYRNETICS INC	FYRNETICS INC	DEPT 77-7369	CHICAGO IL 60678-7369	7088934592	0	1% 15Days NET 30Days
10390	INTERMATIC INC OR EDN	P O BOX 72524	CLEVELAND OH 44192		8156752321	750	2% 10TH PROX
10394	WILLIAMS WHOLESALE	250 S JEFFERSON ST	COOKEVILLE TN 38501		9315286441	0	NET 30Days
10403	KIDDE SAFETY	EDWARDS/ KIDDE/ WALTER	P O BOX 90370	CHICAGO IL 60696-0370	8006549677	500	NET 30Days
10423	INSIGHT LIGHTING	4341 FULCRUM WAY	RIO RANCHO NM 87144		5053453838	10000	NET 30Days
10427	CRESCENT ELECTRIC SUPPLY CO	P O BOX 500	EAST DUBUQUE IL	61025-4420	6152278687	0	NET 30Days
10468	ELLIPTIPAR INC	114 ORANGE AVE	WEST HAVEN CT 05516		2039314455	2500	1% 10Days NET 30Days
10469	JEFFERSON LIGHTING & BRASSWORK	P O BOX 10303	LYNCHBURG VA 24506		8045285809	0	1% 10Days NET 30Days
10471	SHAPER	P O BOX 677526		DALLAS TX 75267-7526	5102372370	0	NET 30Days
10491	WIRE HIDER	2259 SOUTH CLINTON AVE	SOUTH PLAINFIELD NJ	7080	9086687710	0	NET 30Days
10505	GB ELECTRICAL INC OR EDN	P O BOX 72524	CLEVELAND OH 44192		143524160	1000	2% 10TH PROX
10513	DELRAY LIGHTING	7545 NORTH LOCKHEED DR	BURBANK CA 91505		8187673793	0	PREPAY
10515	POINT SOURCE	3125 MENDENHALL RD #255	MEMPHIS TN 38115		0	0	NET 30Days
10521	CAN-TEX OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		0	0	2% 10TH PROX
10524	SATCO PRODUCTS INC OR IMARK	P O BOX 72524	(NUVO)	CLEVELAND OH 44192	9722472437	1000	1%10TH PROX
10528	LF ILLUMINATION	TAB  BANK	P O BOX 150135	OGDEN UT  84415-0135	8188851335	0	1% 10Days NET 30Days
10532	LUMINANCE	P O BOX 933462		CLEVELAND ,OH 44193      	8007774440	1000	2% 10Days NET 30Days
10545	CHLORIDE SYSTEMS	P O BOX 644058	PITTSBURGH PA 15264-4058		9102591044	1200	NET 30Days
10546	H E WILLIAMS	P O BOX 837	CARTHAGE MO 64836		4173584034	3000	1%10TH PROX
10548	WHEATLAND TUBE COMPANY	P O BOX 92690	CHICAGO IL  60675		0	0	2% 15TH
10549	HEATHCO LLC	P O BOX 206297		DALLAS TX 75320-6297	8008588501	500	2% 10TH PROX
10593	CADET MANUFACTURING CO	UNIT 38	P O BOX 4500	PORTLAND OR 97208-4500	8004422338	0	1%10TH PROX
10617	SENSORSWITCH OR EDN	1 LITHONIA WAY	CONYERS, GA 30012        		8007277483	0	2% 10Days NET 30Days
10633	MULBERRY METAL PRODUCTS OR EDN	P O BOX 72524		CLEVELAND OH 44192	9086888850	1000	2% 10TH PROX
10664	SUNLITE	744 CLINTON ST		BROOKLYN NY 11231	7187687000	0	NET 30Days
10676	NEXXUS LIGHTING / ARRAY	P O BOX 536872		ATLANTA GA 30353-6872	7044050416	0	NET 30Days
10696	PANASONIC OR IMARK	P O BOX 72524		CLEVELAND OH 44192	8659220403	1500	1% 30Days
10725	GRAINGER, INC                 	P O BOX 419267	DEPT  823495064	KANSAS CITY MO 64141-6267	6152552012	0	NET 30Days
10737	TOPAZ ELECTRIC CORP. OR EDN	3241 RTE 112 BLDG. 7	MEDFORD, NY 11763        		8006662852	1000	NET 30Days
10742	A.W. SPERRY INSTRUMENTS OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		8006455398	1000	2% 10Days NET 30Days
10743	LITTELFUSE INC. OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		7088241188	0	2% 45Days
10798	RAB OR IMARK	P O BOX 72524		CLEVELAND OH 44192	8002218756	1000	2% 10TH PROX
10900	EYE LIGHTING INTERNATIONAL	P O BOX 72322	CLEVELAND OH 44192		8886652677	750	NET 30Days
10932	WATT STOPPER OR EDN	P O BOX 72524	CLEVELAND OH 44192		8008798585	2500	NET 30Days
10958	ECOSENSE LIGHTING INC	DEPT CH 16889		PALATINE IL 60055-6889	2122288118	0	NET 30Days
10966	CUTTLER HAMMER	P O BOX 905473	CHARLOTTE NC 28290-5473		8005292612	1000	2% 10TH PROX
10976	ROCKSCAPES LLC	DEPT # 4200	P O BOX  87618	CHICAGO IL 60680-0618	8188822955	1500	NET 30Days
10992	FIREX - COLEMAN SAFETY OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		8009515526	1000	1%10TH PROX
10997	GE MEDICAL SYSTEMS	PO BOX 414	MILWAUKEE, WI 53201      		8005582040	1	NET 30Days
20002	MODERN FAN COMPANY/PERIOD ARTS	709 WASHINGTON ST	ASHLAND OR  97520		8885883267	0	NET 30Days
20006	HINKLEY LIGHTING	P O BOX 72062		CLEVELAND OH 44192-0002	8004465539	1500	1% 10Days NET 30Days
20008	AMERICAN BRASS & CRYSTAL (ABC)	835 LEHIGH AVE		UNION NJ 07083	9086888611	1000	2% 10TH PROX
20009	MELISSA LIGHTING	4859 OLSON DRIVE	DALLAS, TX  75227-2104   		8003455399	1500	1%10TH PROX
20017	THE UTTERMOST CO	P O BOX 79086	BALTIMORE MD 21279-0086		8006785486	2000	2% 20TH
20018	TROY -CSL LIGHTING	P O BOX 514310	CSL LIGHTING	LOS ANGELES CA 90051-4310	8005338769	1500	1% 10Days NET 30Days
20020	J V IMPORTS	216 NEW YORK AVE	WESTBURY NY 11590-3922		5163349277	1500	NET 30Days
20023	OTTESON COMPANY	P O BOX 293060	LEWISVILLE TX  75029		9723173120	0	2% 15Days NET 30Days
20024	SCOTT LAMP COMPANY INC	355 WATT DRIVE	FAIRFIELD CA  94585		8006896335	0	NET 30Days
20025	ROCKEFELLER LIGHTING	9843 SIXTH ST #101	RANCHO CUCAMONGA CA 91730		8006992988	1500	2% 10TH PROX
20029	THE FORESIDE COMPANY	P O BOX 843		BRATTLEBORO VT 05302-0843	8888557857	0	NET 30Days
20031	IMPERIAL CRYSTAL & CHINA	CREDITEK CORPORATION	P O BOX 454	PARSIPPANY, NJ 07054-0454	2014356666	0	NET 30Days
20034	STYLECRAFT HOME COLLECTION	P O BOX 6953	CAROL STREAM IL	60197-6593	6624295279	3000	2% 10Days NET 30Days
20039	THE PORCELAIN GARDEN	28 HAMMOND	UNIT A	IRVINE, CA  92718        	8004860337	0	NET 30Days
20040	DAZOR MFG CORP	P O BOX 771099	ST LOUIS MO 63177-2099		8003459103	1250	1% 15Days NET 30Days
20041	CYAN DESIGN	P O BOX 961008		FORTWORTH TX 76161	0	0	NET 30Days
20042	PIERI CREATIONS	100 W OXFORD ST	OPHILA PA 19122		2156340700	0	NET 30Days
20044	2ND AVENUE DESIGN	737 W. 2ND AVENUE	MESA AZ  85210		8008431602	2000	1% 10Days NET 30Days
20049	KALALOU	3844 W NORTHSIDE DR	JASKSON,MS 39209         	SALES@KALKALOU	8002494229	0	NET 30Days
20051	JAMES R MODER CRYSTAL CHND INC	2050 N STEMMONS FWY	STE 303-1 MAIL UNIT #231	DALLAS TX 75207	8006631232	1000	NET 30Days
20053	THE FELDMAN CO	P O BOX 54331 TERMINAL AN	LOS ANGELES CA  90054		0	1000	2% 10TH PROX
20055	NULCO MFG CORP	30 BEECHER STREET	P O BOX 1328	PAWTUCKET RI  02862	8006685269	1500	1%10TH PROX
20058	MARLIN CONTROLS	P O BOX 550457		DALLAS, TX  75355-0457   	8007885750	0	NET 30Days
20060	FORTE LIGHTING	14780 BAR HARBOR RD	FONTANA, CA  92336       		8009668000	1750	2% 10TH PROX
20061	FORECAST LIGHTING OR EDN	(PHILIPS)	P O BOX 72524	CLEVELAND OH 44192	8008255844	1500	1%10TH PROX
20062	WESTAR LIGHTING	P O BOX 429	MCLEANSVILLE NC  27301	--COMPANY OUT OF BUSINESS	8008333856	950	2% 10TH PROX
20064	TROY-CSL LIGHTING	P O BOX 514310	CORBETT	LOS ANGELES CA 90051-4310	8005271784	1800	1% 10Days NET 30Days
20066	WORLD IMPORTS	P O BOX 973750	DALLAS TX 75397-3750		8003674624	1500	NET 20Days
20067	MOUNTAIN LAKE LTG & ACCES	12 WILLOW LN	NESQUEHONING PA	18240-1228	8009944880	1500	2% 10TH PROX
20068	PHASE II LIGHTING	P O BOX 2648	PEACHTREE CITY GA  30269		8007291148	1200	1% 10Days NET 30Days
20069	ALKCO LIGHTING INC. (PHILIPS)	P O BOX 281693		ATLANTA GA 30384-1693	8474510700	2000	1%10TH PROX
20070	C.W. COLE & CO., INC.         	2560 N ROSEMEAD BLVD	SOUTH EL MONTE, CA       	91733-1593	2134432473	0	NET 30Days
20071	METROPOLITAN LIGHTING	FILE 57473  ACCT T2220	LOS ANGELES, CA          	90074-7473	8882334500	1500	2% 10Days NET 30Days
20072	SWIVELIER CO INC	600 BRADLEY HILL RDD	BLAUVELT NY 10913-1187		8453531455	1000	NET 30Days
20073	FREDRICK RAMOND INC	16121 SO CARMENTIA ROAD	CERRITOS CA  90701		8007437266	1750	1%10TH PROX
20074	WAVE LIGHTING	DEPT 781758	P O BOX 78000	DETROIT MI 48278-1758	8778709283	850	1% 10Days NET 30Days
20076	WEISS & BIHELLER		440 NEPPERHAN AVE	YONKERS NY 10701	2129796990	1500	2% 10TH PROX
20077	KIM LIGHTING OR EDN	P O BOX 72524		CLEVELAND OH 44192	6269685666	1500	1%10TH PROX
20084	HOUSE OF TROY	902 SILVER RIDGE ROAD	HYDE PARK VT  05655		8004285367	1200	2% 10Days NET 30Days
20085	MONTAAGE CREATIVE OBJECTS	P O BOX 970375	DALLAS, TX 75397-0375    		8006666265	0	NET 30Days
20086	MINKA-LAVERY	PO BOX 740897	LOS ANGELES, CA          	90074-0897	8002217977	1250	2% 10Days NET 30Days
20087	MINKA-AIRE	PO BOX 740897	LOS ANGELES, CA          	90074-0897	8003073267	1250	2% 10Days NET 30Days
20088	ELA COMPANY	17891 ARENTH AVENUE	CITY OF INDUSTRY CA 91748		8004236561	1500	NET 30Days
20090	ROYAL PACIFIC	4931 PASEO DEL NORTE	ALBUQUERQUE, NM 87113    		8009376925	1750	5% 30Days
20091	MCFADDEN LIGHTING CO INC	2601 OHIO AVE	ST LOUIS MO 63118		3147731340	0	NET 30Days
20092	LURALINE	2388 N. W. 150TH STREET	OPA LOCKA, FL  33054     		0	2500	NET 30Days
20094	ELAN LIGHTING	24947 NETWORK PLACE		CHICAGO IL 60673-1249	8552267169	1500	1%10TH PROX
20099	SIMKAR	P O BOX 822539	PHILADELPHIA PA	19182-2539	2158317700	2000	1%10TH PROX
20101	HLI SOLUTIONS	(DUAL-LITE)	PO BOX 72524	CLEVELAND OH 44192	2036993000	1000	NET 30Days
20102	KACO INTERNATIONAL INC	502 W CORNWALLIS DR	GREENSBORO NC 27408		3362738280	0	NET 10Days
20103	QUOIZEL INC	WELLS FARGO BANK	P O BOX 208287	DALLAS TX 75320	8006455233	1000	2% 10Days NET 30Days
20104	ROBERT ABBEY INC	3166 MAIN AVE S.E.	HICKORY, N.C. 28602      		8283223480	0	NET 30Days
20106	SUNWAY FAN COMPANY	1505A KELLY BLVD		CARROLLTON TX 75006	9724166090	2000	NET 30Days
20109	MICA LAMP COMPANY	517 STATE ST	GLENDALE CA  91203		8182417227	0	NET 30Days
20110	ACME ELECTRIC COR OR EDN	ACME TRANSFORMER DIVISION	P O BOX 72524	CLEVELAND OH 44192	8003345214	1500	2% 10Days NET 30Days
20114	ELLA HOME	4571 WINTERS CHAPEL RD	(MSM)	ATLANTA GA 30360	7704168188	500	NET 30Days
20116	CLASSY ARE WHOLESALERS	3218 SHERMAN	HOUSTON TX 77003		8003728007	0	NET 30Days
20117	SIGNIFY (LIGHTOLIER) OR IMARK	P O BOX 72524		CLEVELAND OH 44192	8002230726	1500	1%10TH PROX
20118	GOLDEN LIGHTING	PO BOX 102477		ATLANTA, GA 30348        	8002770979	1200	2% 10Days NET 30Days
20121	THE STIFFEL CO	135 S LASALLE ST	DEPT 2489	CHICAGO IL 60674-2489	3166649200	0	NET 30Days
20122	WEINSTOCK-DALLAS TX	34-30 STEINWAY ST	LONG ISLAND CITY NY 11101		8667294848	2000	2% 10TH PROX
20124	DANALITE	P O BOX 5065	DES PLAINES IL 60017-5065		8004463262	1000	2% 10TH PROX
20126	NEMO LIGHTING	P O BOX 299		WAYNE NJ 07474-0299	8007345858	3000	NET 30Days
20131	ET2	253 N VINELAND AVE	CITY OF INDUSTRY, CA     	91746	6269564200	750	2% 15TH
20132	CIRCULAR FOCUS LLC	FOCAL POINT	P O BOX 732	GREENWOOD DE 19950	7732479494	750	NET 30Days
20133	WORLDWIDE LIGHTING	2304 LINCOLN AVA		HAYWARD CA 94545	5102938999	1000	NET 30Days
20134	TOKISTAR	1015 E DISCOVERY LANE		ANAHEIM CA 92801	8773407633	0	1% 10Days NET 30Days
20135	CANTERBURY LAMPSHADE STUDIO IN	3535 NW 19TH ST	FORT LAUDERDALE FL 33311		8005267420	0	1% 10Days NET30Days
20136	KATHERINE'S COLLECTION	370 FALLS COMMERCE PKWY	ATTN JANET	CUYAHOGA FALLS OH 44224	8005244387	0	NET 30Days
20139	WESTINGHOUSE LIGHTING OR IMARK	P O BOX 72524		CLEVELAND OH 44192	8009992226	1000	1%10TH PROX
20141	HUBBELL LIGHTING INC OR EDN	HUBBELL LIGHTING	P O BOX 72524	CLEVELAND OH 44192	8005444848	2000	NET 60Days
20145	AIDAN GRAY	1515 MARSH LANE	SUITE 100	CARROLTON, TX 75006      	8882734229	0	PREPAY
20146	ARTE DE MEXICO	1000 CHESTNUT ST	BURBANK CA 91506-1623		8185080993	0	NET 30Days
20153	WORLD MARKETING GROUP	114 VENTANA CT	MOORESVILLE NC 28117		7049879191	0	NET 30Days
20155	ABERDEEN DESIGNS	P O BOX 11670	HUNTSVILLE AL 35814		8668595533	2000	NET 30Days
20157	EUROFASE  INC	33 WEST BEAVER CREEK RD	RICHMOND HILL	ONTARIO, CANADA L4B 1L8  	9056952055	1500	1% 10Days NET30Days
20164	REXEL ELECTRIC	299 COWAN  ST	NASHVILLE TN 37213		6152426511	0	2% 10TH PROX
20165	ESTILUZ INC	235 MOONACHIE RD	MOONACHIE NJ  07074		2016411997	1800	NET 30Days
20166	ZANEEN LIGHTING	30 TYCOS DR	TORONTO,ONTARIO,CANADA   	M6B 1V9	8003883382	2000	NET 30Days
20171	SCHONBEK WORLDWIDE LIGHTING	PO BOX 1482	1051 PORT WASHINGTON BLVD	PORT WASHINGTON, NY 11050	8008361892	2500	1% 15Days NET 30Days
20175	AVALANCHE RANCH LIGHT COMPANY	P O BOX 31397	BELLINGHAM WA  98228		3607521610	600	NET 30Days
20177	MISCELLANEOUS MERCHANDISE-LIGH	531 LAFAYETTE STREET		NASHVILLE TN 37203	6158433300	0	NET 30Days
20183	LIGHTING AGENTS INC.	P.O. BOX 790163	SAN ANTONIO, TX          	78279-0163	5123429459	1500	NET 30Days
20185	Z-LITE JENAMEES INC	130 EATON DRIVE	SHELBYVILLE ,TN  37160   		5196315300	1000	2% 10Days NET 30Days
20186	LITHONIA OR IMARK	P O BOX 72524	(JUNO)	CLEVELAND OH 44192	8003675866	1000	1%10TH PROX
20192	CONTRAST LIGHTING	1009 PARK INDUSTRIAL	LEVIS QC CANADA G6Z1C5		8888394624	1500	1% 10Days NET 30Days
20195	BORDER STATE ELECTRIC SUPPLY	P O BOX 306079		NASHVILLE TN 37230-6079	6152554161	0	NET 25TH
20198	ARTEMIDE /ILLUMINATIONS CONTRA	P O BOX 8399	ATLANTA GA 31106		6316949292	0	NET 30Days
20199	CELTIC CAPITAL CORPORATION	HOLTKOETTER INTERNATIONAL	2951 28TH ST STE 2030	SANTA MONICA, CA 90405   	8008995444	1500	1% 10Days NET 30Days
20201	LIGHT ARTISTRY	959 WALNUT LN	P O BOX 1357	POTTSVILLE PA 17901	5706247845	0	NET 30Days
20202	MAIN STREET ORNA LAMP POST	1021 INDUSTRIAL PKWY.	MEDINA, OH  44256        		2167234431	10000	1% 10Days NET 30 Days
20203	NUEVO LIVING	900 CALEDONIA RD	UNIT 9	TORONTO ON M6B 3Y1	4167816362	1500	NET 30Days
20206	CONSOLIDATED ELEC DIST	P O BOX 607	BRENTWOOD TN 37024-0607		0	0	NET 15TH
20216	LOUVERS INTERNATIONAL	851 N CHURCH CT	ELMHURST IL 60126		8005433765	1000	NET 30Days
20221	AMERICAN FLUORESCENT (AFX)	L-4305		COLUMBIS, OH 43260       	8008732326	750	2% 45Days
20224	PULSAR ENTERPRISES INC	4420 SHEPHERDSVILLE RD	LOUISVILLE KY 40218-3437		8002832852	0	NET 30Days
20225	G L LIGHTING	807 BRADFORD AVE	NASHVILLE TN 37204		6153832140	0	NET 30Days
20226	SAVANT LIGHTING	9047 BRIDGEPORT PLACE	RANCHO CUCAMONGA CA	91730	8882788268	0	NET 30Days
20227	CREATIVE CO-OP	P O BOX 74008740		CHICAGO IL 60674-8740	8663232264	0	NET 30Days
20229	VINTAGE VERANDAH	P O BOX 100 DEPT 316	MEMPHIS TN 38148-0316		8002493357	0	NET 30Days
20230	AMERICAN ART INDUSTRIES	355 EAST 10TH AVENUE	HIALEAH FL  33010		8004332637	1300	PREPAY
20231	LITELAB COPORATION	251 ELM STREET	BUFFALO, NY  14203       		7168564491	0	NET 30Days
20234	COOPER LIGHTING OR EDN	P O BOX 72524	(IRIS)	CLEVELAND OH 44192	7704864800	2000	1.5% 25TH
20235	COOPER LIGHTING OR EDN	P O BOX 72524	(LUMIERE)	CLEVELAND OH 44192	0	1500	1.5% 25TH
20236	CRYSTAL LAMP PARTS	539 W ROSECRANS AVE	GARDENA CA  90248	---OUT OF BUSINESS---	8003210781	0	1% 10Days NET 30 Days
20237	HUBBELL LIGHTING OR EDN	(COLUMBIA / PRESCOLITE)	P O BOX 72524	CLEVELAND OH 44192	5105775244	2000	1%10TH PROX
20238	ELCANCO	5 NORTHERN BLVD BOX 12	UNIT 6R	AMHERST NH 03031	8004233836	0	2% 10Days NET 30Days
